,original prompts,pos tagged prompt
0,"Blue Beach Umbrellas, Point Of Rocks, Crescent Beach, Siesta Key - Spiral Notebook","[('blue', 'JJ'), ('beach', 'NN'), ('umbrellas', 'NNS'), (',', ','), ('point', 'NN'), ('of', 'IN'), ('rocks', 'NNS'), (',', ','), ('crescent', 'NN'), ('beach', 'NN'), (',', ','), ('siesta', 'NN'), ('key', 'NN'), ('-', 'HYPH'), ('spiral', 'NN'), ('notebook', 'NN')]"
1,BMW-M2-M-Performance-Dekor-Long-Beach-Blue-05,"[('bmw-m2-m-performance-dekor-long-beach-blue-05', 'ADD')]"
2,Becoming More Than a Good Bible Study Girl: Living the Faith after Bible Class Is Over (       UNABRIDGED) by Lysa TerKeurst Narrated by Lysa TerKeurst,"[('becoming', 'VBG'), ('more', 'JJR'), ('than', 'IN'), ('a', 'DT'), ('good', 'JJ'), ('bible', 'NN'), ('study', 'NN'), ('girl', 'NN'), (':', ':'), ('living', 'VBG'), ('the', 'DT'), ('faith', 'NN'), ('after', 'IN'), ('bible', 'NN'), ('class', 'NN'), ('is', 'VBZ'), ('over', 'RB'), ('(', '-LRB-'), ('unabridged', 'JJ'), (')', '-RRB-'), ('by', 'IN'), ('lysa', 'NN'), ('terkeurst', 'NN'), ('narrated', 'VBN'), ('by', 'IN'), ('lysa', 'NN'), ('terkeurst', 'NN')]"
3,"""Dynabrade 52632 4-1/2"""" Dia. Right Angle Depressed Center Wheel Grinder (Replaces 50306 and 50346)""","[('""', '``'), ('dynabrade', 'FW'), ('52632', 'CD'), ('4-1/2', 'CD'), ('""', ""''""), ('""', ""''""), ('dia', 'NN'), ('.', '.'), ('right', 'JJ'), ('angle', 'NN'), ('depressed', 'VBN'), ('center', 'NN'), ('wheel', 'NN'), ('grinder', 'NN'), ('(', '-LRB-'), ('replaces', 'VBZ'), ('50306', 'CD'), ('and', 'CC'), ('50346', 'CD'), (')', '-RRB-'), ('""', ""''"")]"
4,MANETTE XBOX ONE,"[('manette', 'NNP'), ('xbox', 'NNP'), ('one', 'CD')]"
5,Braid PC Download,"[('braid', 'NN'), ('pc', 'NN'), ('download', 'NN')]"
6,Stainless Stockpots (Set of 2),"[('stainless', 'JJ'), ('stockpots', 'NNS'), ('(', '-LRB-'), ('set', 'VBN'), ('of', 'IN'), ('2', 'CD'), (')', '-RRB-')]"
7,INFINITE images infinite calendar 2013 wallpaper photos 33674573,"[('infinite', 'JJ'), ('images', 'NNS'), ('infinite', 'JJ'), ('calendar', 'NN'), ('2013', 'CD'), ('wallpaper', 'NN'), ('photos', 'NNS'), ('33674573', 'CD')]"
8,100% Cotton Sateen White Double High thread count 600TC bed Sheet with 2 pillow covers:  Bedroom by FurnishTurf,"[('100', 'CD'), ('%', 'NN'), ('cotton', 'NN'), ('sateen', 'NN'), ('white', 'JJ'), ('double', 'JJ'), ('high', 'JJ'), ('thread', 'NN'), ('count', 'NN'), ('600tc', 'CD'), ('bed', 'NN'), ('sheet', 'NN'), ('with', 'IN'), ('2', 'CD'), ('pillow', 'NN'), ('covers', 'NNS'), (':', ':'), ('bedroom', 'NN'), ('by', 'IN'), ('furnishturf', 'NN')]"
9,Altai mountains Stock Photography,"[('altai', 'NNP'), ('mountains', 'NNS'), ('stock', 'NN'), ('photography', 'NN')]"
10,bathroom-glass-tile-accent-ideas,"[('bathroom', 'NN'), ('-', 'HYPH'), ('glass', 'NN'), ('-', 'HYPH'), ('tile', 'NN'), ('-', 'HYPH'), ('accent', 'NN'), ('-', 'HYPH'), ('ideas', 'NNS')]"
11,Covid-19 Vaccine Concerns Raised By Residents Addressed By MP,"[('covid', 'JJ'), ('-19', 'CD'), ('vaccine', 'NN'), ('concerns', 'NNS'), ('raised', 'VBN'), ('by', 'IN'), ('residents', 'NNS'), ('addressed', 'VBN'), ('by', 'IN'), ('mp', 'NN')]"
12,33 Amazing South African Interior Designers Images African,"[('33', 'CD'), ('amazing', 'JJ'), ('south', 'NNP'), ('african', 'JJ'), ('interior', 'NN'), ('designers', 'NNS'), ('images', 'NNS'), ('african', 'JJ')]"
13,A Purple and Fuchsia Modern Glam Winery Wedding | Blueberry Phot,"[('a', 'DT'), ('purple', 'JJ'), ('and', 'CC'), ('fuchsia', 'JJ'), ('modern', 'JJ'), ('glam', 'NN'), ('winery', 'NN'), ('wedding', 'NN'), ('|', 'NFP'), ('blueberry', 'NN'), ('phot', 'NN')]"
14,🆕 Cute Earrings,"[('🆕', 'NFP'), ('cute', 'JJ'), ('earrings', 'NNS')]"
15,Bayonetta & Vanquish 10th Anniversary Bundle... on Xbox One,"[('bayonetta', 'NNP'), ('&', 'CC'), ('vanquish', 'NNP'), ('10th', 'JJ'), ('anniversary', 'NN'), ('bundle', 'NN'), ('...', ','), ('on', 'IN'), ('xbox', 'NN'), ('one', 'CD')]"
16,Storage Utility Shed/Building Plans #10808,"[('storage', 'NN'), ('utility', 'NN'), ('shed', 'NN'), ('/', ','), ('building', 'NN'), ('plans', 'NNS'), ('#', 'NN'), ('10808', 'CD')]"
17,JW Photography Wall Clock,"[('jw', 'NNP'), ('photography', 'NN'), ('wall', 'NN'), ('clock', 'NN')]"
18,Greeting Card featuring the digital art Making Music by Guitar Wacky,"[('greeting', 'VBG'), ('card', 'NN'), ('featuring', 'VBG'), ('the', 'DT'), ('digital', 'JJ'), ('art', 'NN'), ('making', 'VBG'), ('music', 'NN'), ('by', 'IN'), ('guitar', 'NN'), ('wacky', 'NN')]"
19,FOR PICK UP ONLY HBF poly-down Pillow Insert - 16,"[('for', 'IN'), ('pick', 'VB'), ('up', 'RP'), ('only', 'RB'), ('hbf', 'NN'), ('poly', 'NN'), ('-', 'HYPH'), ('down', 'RP'), ('pillow', 'NN'), ('insert', 'NN'), ('-', 'HYPH'), ('16', 'CD')]"
20,Black panther premiere Melbourne Described as 'nothing but empowering' the event was a celebration of cultural diversity.,"[('black', 'JJ'), ('panther', 'NN'), ('premiere', 'NN'), ('melbourne', 'NNP'), ('described', 'VBN'), ('as', 'IN'), (""'"", '``'), ('nothing', 'NN'), ('but', 'CC'), ('empowering', 'JJ'), (""'"", ""''""), ('the', 'DT'), ('event', 'NN'), ('was', 'VBD'), ('a', 'DT'), ('celebration', 'NN'), ('of', 'IN'), ('cultural', 'JJ'), ('diversity', 'NN'), ('.', '.')]"
21,Monday clear Trainer black Legend white Sports Nike Grey Performance Shoes Emerald Cyber qaYp14A,"[('monday', 'NNP'), ('clear', 'JJ'), ('trainer', 'NN'), ('black', 'JJ'), ('legend', 'NN'), ('white', 'JJ'), ('sports', 'NNS'), ('nike', 'NN'), ('grey', 'NN'), ('performance', 'NN'), ('shoes', 'NNS'), ('emerald', 'NN'), ('cyber', 'NN'), ('qayp14a', 'NN')]"
22,Beyond the Winning Streak Using Conscious Creation to Consistently Win at Life,"[('beyond', 'IN'), ('the', 'DT'), ('winning', 'VBG'), ('streak', 'NN'), ('using', 'VBG'), ('conscious', 'JJ'), ('creation', 'NN'), ('to', 'TO'), ('consistently', 'RB'), ('win', 'VB'), ('at', 'IN'), ('life', 'NN')]"
23,Origine Tea Cup and Saucer,"[('origine', 'FW'), ('tea', 'NN'), ('cup', 'NN'), ('and', 'CC'), ('saucer', 'NN')]"
24,Washed Hats-Olive,"[('washed', 'VBD'), ('hats', 'NNS'), ('-', 'HYPH'), ('olive', 'NN')]"
25,"2013 Audi A4 for sale at North Atlanta Auto Gallery, Inc in Alpharetta GA","[('2013', 'CD'), ('audi', 'NNP'), ('a4', 'CD'), ('for', 'IN'), ('sale', 'NN'), ('at', 'IN'), ('north', 'NNP'), ('atlanta', 'NNP'), ('auto', 'NNP'), ('gallery', 'NN'), (',', ','), ('inc', 'NNP'), ('in', 'IN'), ('alpharetta', 'NNP'), ('ga', 'NNP')]"
26,Modern Dining Room Sets For 6 Furniture Modern Dining Room Furniture Mississauga Ontario Patio,"[('modern', 'JJ'), ('dining', 'NN'), ('room', 'NN'), ('sets', 'NNS'), ('for', 'IN'), ('6', 'CD'), ('furniture', 'NN'), ('modern', 'JJ'), ('dining', 'NN'), ('room', 'NN'), ('furniture', 'NN'), ('mississauga', 'NNP'), ('ontario', 'NNP'), ('patio', 'NN')]"
27,Dirty Wives Club 03,"[('dirty', 'JJ'), ('wives', 'NNS'), ('club', 'NN'), ('03', 'CD')]"
