,original prompts,pos tagged prompt
0,"Blue Beach Umbrellas, Point Of Rocks, Crescent Beach, Siesta Key - Spiral Notebook","[('blue', 'JJ'), ('beach', 'NN'), ('umbrellas', 'NNS'), (',', ','), ('point', 'NN'), ('of', 'IN'), ('rocks', 'NNS'), (',', ','), ('crescent', 'NN'), ('beach', 'NN'), (',', ','), ('siesta', 'NN'), ('key', 'JJ'), ('-', ':'), ('spiral', 'JJ'), ('notebook', 'NN')]"
1,BMW-M2-M-Performance-Dekor-Long-Beach-Blue-05,"[('bmw-m2-m-performance-dekor-long-beach-blue-05', 'NN')]"
2,Becoming More Than a Good Bible Study Girl: Living the Faith after Bible Class Is Over (       UNABRIDGED) by Lysa TerKeurst Narrated by Lysa TerKeurst,"[('becoming', 'VBG'), ('more', 'JJR'), ('than', 'IN'), ('a', 'DT'), ('good', 'JJ'), ('bible', 'NN'), ('study', 'NN'), ('girl', 'NN'), (':', ':'), ('living', 'VBG'), ('the', 'DT'), ('faith', 'NN'), ('after', 'IN'), ('bible', 'JJ'), ('class', 'NN'), ('is', 'VBZ'), ('over', 'IN'), ('(', '('), ('unabridged', 'JJ'), (')', ')'), ('by', 'IN'), ('lysa', 'NN'), ('terkeurst', 'RB'), ('narrated', 'VBN'), ('by', 'IN'), ('lysa', 'NN'), ('terkeurst', 'NN')]"
3,"""Dynabrade 52632 4-1/2"""" Dia. Right Angle Depressed Center Wheel Grinder (Replaces 50306 and 50346)""","[('``', '``'), ('dynabrade', 'VB'), ('52632', 'CD'), ('4-1/2', 'JJ'), (""''"", ""''""), (""''"", ""''""), ('dia', 'NN'), ('.', '.'), ('right', 'JJ'), ('angle', 'NN'), ('depressed', 'VBD'), ('center', 'NN'), ('wheel', 'NN'), ('grinder', 'NN'), ('(', '('), ('replaces', 'VBZ'), ('50306', 'CD'), ('and', 'CC'), ('50346', 'CD'), (')', ')'), (""''"", ""''"")]"
4,MANETTE XBOX ONE,"[('manette', 'NN'), ('xbox', 'CD'), ('one', 'CD')]"
5,Braid PC Download,"[('braid', 'JJ'), ('pc', 'NN'), ('download', 'NN')]"
6,Stainless Stockpots (Set of 2),"[('stainless', 'JJ'), ('stockpots', 'NNS'), ('(', '('), ('set', 'NN'), ('of', 'IN'), ('2', 'CD'), (')', ')')]"
7,INFINITE images infinite calendar 2013 wallpaper photos 33674573,"[('infinite', 'JJ'), ('images', 'NNS'), ('infinite', 'VBP'), ('calendar', 'NN'), ('2013', 'CD'), ('wallpaper', 'NN'), ('photos', 'NNS'), ('33674573', 'CD')]"
8,100% Cotton Sateen White Double High thread count 600TC bed Sheet with 2 pillow covers:  Bedroom by FurnishTurf,"[('100', 'CD'), ('%', 'NN'), ('cotton', 'NN'), ('sateen', 'JJ'), ('white', 'JJ'), ('double', 'JJ'), ('high', 'JJ'), ('thread', 'NN'), ('count', 'NN'), ('600tc', 'CD'), ('bed', 'JJ'), ('sheet', 'NN'), ('with', 'IN'), ('2', 'CD'), ('pillow', 'JJ'), ('covers', 'NNS'), (':', ':'), ('bedroom', 'NN'), ('by', 'IN'), ('furnishturf', 'NN')]"
9,Altai mountains Stock Photography,"[('altai', 'NN'), ('mountains', 'NNS'), ('stock', 'NN'), ('photography', 'NN')]"
10,bathroom-glass-tile-accent-ideas,"[('bathroom-glass-tile-accent-ideas', 'NNS')]"
